food_name,category,moisture,fat,ph,respiration_rate,storage_temperature,storage_rh,target_shelf_life,oxygen_sensitivity,moisture_sensitivity,light_sensitivity,storage_type,transport_condition,recommended_material
Dry Cereal/Biscuit 6,Dry Goods & Cereals,4.3,15.5,6.2,None,22.0,50.0,185,Medium,High,Medium,Ambient,Standard Ambient,Biaxially Oriented Polypropylene (BOPP)
Dry Cereal/Biscuit 7,Dry Goods & Cereals,5.1,8.0,6.4,None,23.0,52.0,186,Medium,High,Medium,Ambient,Standard Ambient,Biaxially Oriented Polypropylene (BOPP)
Dry Cereal/Biscuit 8,Dry Goods & Cereals,5.9,9.5,6.6,None,24.0,54.0,187,Medium,High,Medium,Ambient,Standard Ambient,Biaxially Oriented Polypropylene (BOPP)
Dry Cereal/Biscuit 9,Dry Goods & Cereals,3.5,11.0,6.0,None,21.0,56.0,188,Medium,High,Medium,Ambient,Standard Ambient,Biaxially Oriented Polypropylene (BOPP)
Dry Cereal/Biscuit 10,Dry Goods & Cereals,4.3,12.5,6.2,None,22.0,58.0,189,Medium,High,Medium,Ambient,Standard Ambient,Biaxially Oriented Polypropylene (BOPP)
Dry Cereal/Biscuit 11,Dry Goods & Cereals,5.1,14.0,6.4,None,23.0,50.0,190,Medium,High,Medium,Ambient,Standard Ambient,Biaxially Oriented Polypropylene (BOPP)
Dry Cereal/Biscuit 12,Dry Goods & Cereals,5.9,15.5,6.6,None,24.0,52.0,191,Medium,High,Medium,Ambient,Standard Ambient,Biaxially Oriented Polypropylene (BOPP)
Chilled Fresh Meat 1,Meat & Poultry,68.0,12.0,5.5,None,1.0,85.0,14,High,Medium,Medium,Refrigerated,Cold Chain,EVOH Multi-layer Barrier Film (PE/EVOH/PE)
Chilled Fresh Meat 2,Meat & Poultry,69.2,14.0,5.65,None,1.8,87.0,15,High,Medium,Medium,Refrigerated,Cold Chain,EVOH Multi-layer Barrier Film (PE/EVOH/PE)
Chilled Fresh Meat 3,Meat & Poultry,70.4,16.0,5.8,None,2.6,89.0,16,High,Medium,Medium,Refrigerated,Cold Chain,EVOH Multi-layer Barrier Film (PE/EVOH/PE)
Chilled Fresh Meat 4,Meat & Poultry,71.6,18.0,5.95,None,1.0,85.0,17,High,Medium,Medium,Refrigerated,Cold Chain,EVOH Multi-layer Barrier Film (PE/EVOH/PE)
Chilled Fresh Meat 5,Meat & Poultry,72.8,20.0,5.5,None,1.8,87.0,18,High,Medium,Medium,Refrigerated,Cold Chain,EVOH Multi-layer Barrier Film (PE/EVOH/PE)
Chilled Fresh Meat 6,Meat & Poultry,68.0,22.0,5.65,None,2.6,89.0,19,High,Medium,Medium,Refrigerated,Cold Chain,EVOH Multi-layer Barrier Film (PE/EVOH/PE)
Chilled Fresh Meat 7,Meat & Poultry,69.2,12.0,5.8,None,1.0,85.0,20,High,Medium,Medium,Refrigerated,Cold Chain,EVOH Multi-layer Barrier Film (PE/EVOH/PE)
Chilled Fresh Meat 8,Meat & Poultry,70.4,14.0,5.95,None,1.8,87.0,14,High,Medium,Medium,Refrigerated,Cold Chain,EVOH Multi-layer Barrier Film (PE/EVOH/PE)
Chilled Fresh Meat 9,Meat & Poultry,71.6,16.0,5.5,None,2.6,89.0,15,High,Medium,Medium,Refrigerated,Cold Chain,EVOH Multi-layer Barrier Film (PE/EVOH/PE)
Chilled Fresh Meat 10,Meat & Poultry,72.8,18.0,5.65,None,1.0,85.0,16,High,Medium,Medium,Refrigerated,Cold Chain,EVOH Multi-layer Barrier Film (PE/EVOH/PE)
Chilled Fresh Meat 11,Meat & Poultry,68.0,20.0,5.8,None,1.8,87.0,17,High,Medium,Medium,Refrigerated,Cold Chain,EVOH Multi-layer Barrier Film (PE/EVOH/PE)
Chilled Fresh Meat 12,Meat & Poultry,69.2,22.0,5.95,None,2.6,89.0,18,High,Medium,Medium,Refrigerated,Cold Chain,EVOH Multi-layer Barrier Film (PE/EVOH/PE)
Aged Cheese Block 1,Dairy,36.0,31.0,5.1,None,4.0,80.0,90,High,Medium,Medium,Refrigerated,Cold Chain,EVOH Multi-layer Barrier Film (PE/EVOH/PE)
Aged Cheese Block 2,Dairy,37.5,32.5,5.2,None,5.0,82.0,91,High,Medium,Medium,Refrigerated,Cold Chain,EVOH Multi-layer Barrier Film (PE/EVOH/PE)
Aged Cheese Block 3,Dairy,39.0,34.0,5.3,None,6.0,84.0,92,High,Medium,Medium,Refrigerated,Cold Chain,EVOH Multi-layer Barrier Film (PE/EVOH/PE)
Aged Cheese Block 4,Dairy,40.5,35.5,5.4,None,4.0,86.0,93,High,Medium,Medium,Refrigerated,Cold Chain,EVOH Multi-layer Barrier Film (PE/EVOH/PE)
Aged Cheese Block 5,Dairy,36.0,37.0,5.1,None,5.0,80.0,94,High,Medium,Medium,Refrigerated,Cold Chain,EVOH Multi-layer Barrier Film (PE/EVOH/PE)
Aged Cheese Block 6,Dairy,37.5,31.0,5.2,None,6.0,82.0,95,High,Medium,Medium,Refrigerated,Cold Chain,EVOH Multi-layer Barrier Film (PE/EVOH/PE)
Aged Cheese Block 7,Dairy,39.0,32.5,5.3,None,4.0,84.0,96,High,Medium,Medium,Refrigerated,Cold Chain,EVOH Multi-layer Barrier Film (PE/EVOH/PE)
Aged Cheese Block 8,Dairy,40.5,34.0,5.4,None,5.0,86.0,97,High,Medium,Medium,Refrigerated,Cold Chain,EVOH Multi-layer Barrier Film (PE/EVOH/PE)
Aged Cheese Block 9,Dairy,36.0,35.5,5.1,None,6.0,80.0,98,High,Medium,Medium,Refrigerated,Cold Chain,EVOH Multi-layer Barrier Film (PE/EVOH/PE)
Aged Cheese Block 10,Dairy,37.5,37.0,5.2,None,4.0,82.0,99,High,Medium,Medium,Refrigerated,Cold Chain,EVOH Multi-layer Barrier Film (PE/EVOH/PE)
Aged Cheese Block 11,Dairy,39.0,31.0,5.3,None,5.0,84.0,100,High,Medium,Medium,Refrigerated,Cold Chain,EVOH Multi-layer Barrier Film (PE/EVOH/PE)
Aged Cheese Block 12,Dairy,40.5,32.5,5.4,None,6.0,86.0,101,High,Medium,Medium,Refrigerated,Cold Chain,EVOH Multi-layer Barrier Film (PE/EVOH/PE)
Acidic Preserve 1,Condiments & Sauces,65.0,0.5,3.1,None,20.0,60.0,365,High,High,Medium,Ambient,Standard Ambient,Glass Container (Amber / Flint Jar)
Acidic Preserve 2,Condiments & Sauces,68.0,1.0,3.3,None,21.5,62.0,366,High,High,Medium,Ambient,Standard Ambient,Glass Container (Amber / Flint Jar)
Acidic Preserve 3,Condiments & Sauces,71.0,1.5,3.5,None,23.0,64.0,367,High,High,Medium,Ambient,Standard Ambient,Glass Container (Amber / Flint Jar)
Acidic Preserve 4,Condiments & Sauces,74.0,0.5,3.7,None,24.5,66.0,368,High,High,Medium,Ambient,Standard Ambient,Glass Container (Amber / Flint Jar)
Acidic Preserve 5,Condiments & Sauces,77.0,1.0,3.9,None,20.0,68.0,369,High,High,Medium,Ambient,Standard Ambient,Glass Container (Amber / Flint Jar)
Acidic Preserve 6,Condiments & Sauces,80.0,1.5,3.1,None,21.5,60.0,370,High,High,Medium,Ambient,Standard Ambient,Glass Container (Amber / Flint Jar)
Acidic Preserve 7,Condiments & Sauces,65.0,0.5,3.3,None,23.0,62.0,371,High,High,Medium,Ambient,Standard Ambient,Glass Container (Amber / Flint Jar)
Acidic Preserve 8,Condiments & Sauces,68.0,1.0,3.5,None,24.5,64.0,372,High,High,Medium,Ambient,Standard Ambient,Glass Container (Amber / Flint Jar)
Acidic Preserve 9,Condiments & Sauces,71.0,1.5,3.7,None,20.0,66.0,373,High,High,Medium,Ambient,Standard Ambient,Glass Container (Amber / Flint Jar)
Acidic Preserve 10,Condiments & Sauces,74.0,0.5,3.9,None,21.5,68.0,374,High,High,Medium,Ambient,Standard Ambient,Glass Container (Amber / Flint Jar)
Acidic Preserve 11,Condiments & Sauces,77.0,1.0,3.1,None,23.0,60.0,375,High,High,Medium,Ambient,Standard Ambient,Glass Container (Amber / Flint Jar)
Acidic Preserve 12,Condiments & Sauces,80.0,1.5,3.3,None,24.5,62.0,376,High,High,Medium,Ambient,Standard Ambient,Glass Container (Amber / Flint Jar)
Hygroscopic Powder 1,Dairy,2.2,24.0,6.5,None,20.0,45.0,365,High,High,High,Ambient,Standard Ambient,Aluminum Foil Laminate (PET/Al-Foil/PE)
Hygroscopic Powder 2,Dairy,2.7,25.5,6.6,None,21.0,47.0,366,High,High,High,Ambient,Standard Ambient,Aluminum Foil Laminate (PET/Al-Foil/PE)
Hygroscopic Powder 3,Dairy,3.2,27.0,6.7,None,22.0,49.0,367,High,High,High,Ambient,Standard Ambient,Aluminum Foil Laminate (PET/Al-Foil/PE)
Hygroscopic Powder 4,Dairy,2.2,28.5,6.8,None,23.0,51.0,368,High,High,High,Ambient,Standard Ambient,Aluminum Foil Laminate (PET/Al-Foil/PE)
Hygroscopic Powder 5,Dairy,2.7,30.0,6.5,None,20.0,45.0,369,High,High,High,Ambient,Standard Ambient,Aluminum Foil Laminate (PET/Al-Foil/PE)
Hygroscopic Powder 6,Dairy,3.2,31.5,6.6,None,21.0,47.0,370,High,High,High,Ambient,Standard Ambient,Aluminum Foil Laminate (PET/Al-Foil/PE)
Hygroscopic Powder 7,Dairy,2.2,24.0,6.7,None,22.0,49.0,371,High,High,High,Ambient,Standard Ambient,Aluminum Foil Laminate (PET/Al-Foil/PE)
Hygroscopic Powder 8,Dairy,2.7,25.5,6.8,None,23.0,51.0,372,High,High,High,Ambient,Standard Ambient,Aluminum Foil Laminate (PET/Al-Foil/PE)
Hygroscopic Powder 9,Dairy,3.2,27.0,6.5,None,20.0,45.0,373,High,High,High,Ambient,Standard Ambient,Aluminum Foil Laminate (PET/Al-Foil/PE)
Hygroscopic Powder 10,Dairy,2.2,28.5,6.6,None,21.0,47.0,374,High,High,High,Ambient,Standard Ambient,Aluminum Foil Laminate (PET/Al-Foil/PE)
Hygroscopic Powder 11,Dairy,2.7,30.0,6.7,None,22.0,49.0,375,High,High,High,Ambient,Standard Ambient,Aluminum Foil Laminate (PET/Al-Foil/PE)
Hygroscopic Powder 12,Dairy,3.2,31.5,6.8,None,23.0,51.0,376,High,High,High,Ambient,Standard Ambient,Aluminum Foil Laminate (PET/Al-Foil/PE)
Aseptic Beverage 1,Beverages,87.0,3.2,4.5,None,22.0,55.0,180,High,High,High,Ambient,Standard Ambient,Aseptic Paperboard Composite (Tetra-style Carton)
Aseptic Beverage 2,Beverages,88.5,4.0,5.0,None,23.0,57.0,181,High,High,High,Ambient,Standard Ambient,Aseptic Paperboard Composite (Tetra-style Carton)
Aseptic Beverage 3,Beverages,90.0,4.8,5.5,None,24.0,59.0,182,High,High,High,Ambient,Standard Ambient,Aseptic Paperboard Composite (Tetra-style Carton)
Aseptic Beverage 4,Beverages,91.5,5.6,6.0,None,25.0,61.0,183,High,High,High,Ambient,Standard Ambient,Aseptic Paperboard Composite (Tetra-style Carton)
Aseptic Beverage 5,Beverages,87.0,3.2,6.5,None,22.0,63.0,184,High,High,High,Ambient,Standard Ambient,Aseptic Paperboard Composite (Tetra-style Carton)
Aseptic Beverage 6,Beverages,88.5,4.0,4.5,None,23.0,55.0,185,High,High,High,Ambient,Standard Ambient,Aseptic Paperboard Composite (Tetra-style Carton)
Aseptic Beverage 7,Beverages,90.0,4.8,5.0,None,24.0,57.0,186,High,High,High,Ambient,Standard Ambient,Aseptic Paperboard Composite (Tetra-style Carton)
Aseptic Beverage 8,Beverages,91.5,5.6,5.5,None,25.0,59.0,187,High,High,High,Ambient,Standard Ambient,Aseptic Paperboard Composite (Tetra-style Carton)
Aseptic Beverage 9,Beverages,87.0,3.2,6.0,None,22.0,61.0,188,High,High,High,Ambient,Standard Ambient,Aseptic Paperboard Composite (Tetra-style Carton)
Aseptic Beverage 10,Beverages,88.5,4.0,6.5,None,23.0,63.0,189,High,High,High,Ambient,Standard Ambient,Aseptic Paperboard Composite (Tetra-style Carton)
Aseptic Beverage 11,Beverages,90.0,4.8,4.5,None,24.0,55.0,190,High,High,High,Ambient,Standard Ambient,Aseptic Paperboard Composite (Tetra-style Carton)
Aseptic Beverage 12,Beverages,91.5,5.6,5.0,None,25.0,57.0,191,High,High,High,Ambient,Standard Ambient,Aseptic Paperboard Composite (Tetra-style Carton)
Organic Grain/Legume 1,Dry Goods & Cereals,11.0,2.0,6.4,None,20.0,50.0,240,Low,Medium,Low,Ambient,Standard Ambient,Kraft Paper + Bio-PBS Coating (Synthetic Benchmark)
Organic Grain/Legume 2,Dry Goods & Cereals,11.8,2.5,6.6,None,21.0,52.0,241,Low,Medium,Low,Ambient,Standard Ambient,Kraft Paper + Bio-PBS Coating (Synthetic Benchmark)
Organic Grain/Legume 3,Dry Goods & Cereals,12.6,3.0,6.8,None,22.0,54.0,242,Low,Medium,Low,Ambient,Standard Ambient,Kraft Paper + Bio-PBS Coating (Synthetic Benchmark)
Organic Grain/Legume 4,Dry Goods & Cereals,13.4,3.5,6.4,None,23.0,56.0,243,Low,Medium,Low,Ambient,Standard Ambient,Kraft Paper + Bio-PBS Coating (Synthetic Benchmark)
Organic Grain/Legume 5,Dry Goods & Cereals,11.0,2.0,6.6,None,20.0,58.0,244,Low,Medium,Low,Ambient,Standard Ambient,Kraft Paper + Bio-PBS Coating (Synthetic Benchmark)
Organic Grain/Legume 6,Dry Goods & Cereals,11.8,2.5,6.8,None,21.0,50.0,245,Low,Medium,Low,Ambient,Standard Ambient,Kraft Paper + Bio-PBS Coating (Synthetic Benchmark)
Organic Grain/Legume 7,Dry Goods & Cereals,12.6,3.0,6.4,None,22.0,52.0,246,Low,Medium,Low,Ambient,Standard Ambient,Kraft Paper + Bio-PBS Coating (Synthetic Benchmark)
Organic Grain/Legume 8,Dry Goods & Cereals,13.4,3.5,6.6,None,23.0,54.0,247,Low,Medium,Low,Ambient,Standard Ambient,Kraft Paper + Bio-PBS Coating (Synthetic Benchmark)
Organic Grain/Legume 9,Dry Goods & Cereals,11.0,2.0,6.8,None,20.0,56.0,248,Low,Medium,Low,Ambient,Standard Ambient,Kraft Paper + Bio-PBS Coating (Synthetic Benchmark)
Organic Grain/Legume 10,Dry Goods & Cereals,11.8,2.5,6.4,None,21.0,58.0,249,Low,Medium,Low,Ambient,Standard Ambient,Kraft Paper + Bio-PBS Coating (Synthetic Benchmark)
Organic Grain/Legume 11,Dry Goods & Cereals,12.6,3.0,6.6,None,22.0,50.0,250,Low,Medium,Low,Ambient,Standard Ambient,Kraft Paper + Bio-PBS Coating (Synthetic Benchmark)
Organic Grain/Legume 12,Dry Goods & Cereals,13.4,3.5,6.8,None,23.0,52.0,251,Low,Medium,Low,Ambient,Standard Ambient,Kraft Paper + Bio-PBS Coating (Synthetic Benchmark)
Bulk Dry Food 1,Dry Goods & Cereals,4.0,0.5,6.5,None,22.0,55.0,300,Low,High,Low,Ambient,Standard Ambient,High-Density Polyethylene Film (HDPE)
Bulk Dry Food 2,Dry Goods & Cereals,5.0,1.0,6.7,None,23.0,57.0,301,Low,High,Low,Ambient,Standard Ambient,High-Density Polyethylene Film (HDPE)
Bulk Dry Food 3,Dry Goods & Cereals,6.0,1.5,6.9,None,24.0,59.0,302,Low,High,Low,Ambient,Standard Ambient,High-Density Polyethylene Film (HDPE)
Bulk Dry Food 4,Dry Goods & Cereals,7.0,0.5,6.5,None,25.0,61.0,303,Low,High,Low,Ambient,Standard Ambient,High-Density Polyethylene Film (HDPE)
Bulk Dry Food 5,Dry Goods & Cereals,4.0,1.0,6.7,None,22.0,55.0,304,Low,High,Low,Ambient,Standard Ambient,High-Density Polyethylene Film (HDPE)
Bulk Dry Food 6,Dry Goods & Cereals,5.0,1.5,6.9,None,23.0,57.0,305,Low,High,Low,Ambient,Standard Ambient,High-Density Polyethylene Film (HDPE)
Bulk Dry Food 7,Dry Goods & Cereals,6.0,0.5,6.5,None,24.0,59.0,306,Low,High,Low,Ambient,Standard Ambient,High-Density Polyethylene Film (HDPE)
Bulk Dry Food 8,Dry Goods & Cereals,7.0,1.0,6.7,None,25.0,61.0,307,Low,High,Low,Ambient,Standard Ambient,High-Density Polyethylene Film (HDPE)
Bulk Dry Food 9,Dry Goods & Cereals,4.0,1.5,6.9,None,22.0,55.0,308,Low,High,Low,Ambient,Standard Ambient,High-Density Polyethylene Film (HDPE)
Bulk Dry Food 10,Dry Goods & Cereals,5.0,0.5,6.5,None,23.0,57.0,309,Low,High,Low,Ambient,Standard Ambient,High-Density Polyethylene Film (HDPE)
Bulk Dry Food 11,Dry Goods & Cereals,6.0,1.0,6.7,None,24.0,59.0,310,Low,High,Low,Ambient,Standard Ambient,High-Density Polyethylene Film (HDPE)
Bulk Dry Food 12,Dry Goods & Cereals,7.0,1.5,6.9,None,25.0,61.0,311,Low,High,Low,Ambient,Standard Ambient,High-Density Polyethylene Film (HDPE)
Fresh Deli Salad 1,Produce,85.0,1.5,5.2,Low,4.0,80.0,5,Low,Low,Low,Refrigerated,Cold Chain,Polylactic Acid Film (PLA)
Fresh Deli Salad 2,Produce,86.0,2.0,5.5,Low,4.5,82.0,6,Low,Low,Low,Refrigerated,Cold Chain,Polylactic Acid Film (PLA)
Fresh Deli Salad 3,Produce,87.0,2.5,5.8,Low,5.0,84.0,7,Low,Low,Low,Refrigerated,Cold Chain,Polylactic Acid Film (PLA)
Fresh Deli Salad 4,Produce,88.0,3.0,6.1,Low,4.0,86.0,8,Low,Low,Low,Refrigerated,Cold Chain,Polylactic Acid Film (PLA)
Fresh Deli Salad 5,Produce,89.0,1.5,5.2,Low,4.5,80.0,9,Low,Low,Low,Refrigerated,Cold Chain,Polylactic Acid Film (PLA)
Fresh Deli Salad 6,Produce,85.0,2.0,5.5,Low,5.0,82.0,5,Low,Low,Low,Refrigerated,Cold Chain,Polylactic Acid Film (PLA)
Fresh Deli Salad 7,Produce,86.0,2.5,5.8,Low,4.0,84.0,6,Low,Low,Low,Refrigerated,Cold Chain,Polylactic Acid Film (PLA)
Fresh Deli Salad 8,Produce,87.0,3.0,6.1,Low,4.5,86.0,7,Low,Low,Low,Refrigerated,Cold Chain,Polylactic Acid Film (PLA)
Fresh Deli Salad 9,Produce,88.0,1.5,5.2,Low,5.0,80.0,8,Low,Low,Low,Refrigerated,Cold Chain,Polylactic Acid Film (PLA)
Fresh Deli Salad 10,Produce,89.0,2.0,5.5,Low,4.0,82.0,9,Low,Low,Low,Refrigerated,Cold Chain,Polylactic Acid Film (PLA)
Fresh Deli Salad 11,Produce,85.0,2.5,5.8,Low,4.5,84.0,5,Low,Low,Low,Refrigerated,Cold Chain,Polylactic Acid Film (PLA)
Fresh Deli Salad 12,Produce,86.0,3.0,6.1,Low,5.0,86.0,6,Low,Low,Low,Refrigerated,Cold Chain,Polylactic Acid Film (PLA)
